run,step,loss,mean_reward,mean_format_reward,mean_accuracy_reward,mean_length_penalty,outlier_clip_fraction,mean_kl,extraction_failure_rate,zero_variance_fraction,mean_completion_length,std_completion_length,peak_vram_mb
run_a_noclip,17,-42.81640625,0.703125,0.90625,0.3125,-0.0625,0.0,0.0,0.09375,0.5,123.90625,45.74639892578125,13177.95849609375
run_a_noclip,18,1.986328125,0.921875,0.96875,0.4375,0.0,0.0,0.0,0.03125,0.25,93.8125,28.394044876098633,13177.95849609375
run_a_noclip,19,2.84906005859375,0.55908203125,1.0,0.0625,-0.00341796875,0.0,0.0,0.0,0.5,99.6875,46.32802963256836,13177.95849609375
run_a_noclip,20,-5.84375,0.84375,1.0,0.34375,0.0,0.0,0.0,0.0,0.25,111.21875,25.92636489868164,13177.95849609375
run_a_noclip,21,5.88671875,0.8125,1.0,0.3125,0.0,0.0,0.0,0.0,0.25,115.59375,25.153541564941406,13177.95849609375
run_a_noclip,22,8.63671875,0.8125,1.0,0.3125,0.0,0.0,0.0,0.0,0.25,108.9375,29.026058197021484,13177.95849609375
run_a_noclip,23,1.44921875,0.875,1.0,0.375,0.0,0.0,0.0,0.0,0.25,112.8125,33.976688385009766,13177.95849609375
run_a_noclip,24,-0.70703125,0.53125,1.0,0.03125,0.0,0.0,0.0,0.0,0.75,108.15625,28.894813537597656,13177.95849609375
run_a_noclip,25,-3.7501220703125,0.48876953125,0.875,0.0625,-0.01123046875,0.0,0.0,0.125,0.25,112.3125,34.22264862060547,13177.95849609375
run_a_noclip,26,-4.771484375,0.921875,0.96875,0.4375,0.0,0.0,0.0,0.03125,0.5,107.1875,31.218727111816406,13177.95849609375
run_a_noclip,27,-0.03125,0.53125,1.0,0.03125,0.0,0.0,0.0,0.0,0.75,115.40625,36.4566535949707,13177.95849609375
run_a_noclip,28,-9.3525390625,0.828125,0.96875,0.34375,0.0,0.0,0.0,0.03125,0.25,82.71875,19.023303985595703,13177.95849609375
run_a_noclip,29,3.80859375,0.71875,1.0,0.21875,0.0,0.0,0.0,0.0,0.5,104.40625,35.75802230834961,13177.95849609375
run_a_noclip,30,-2.88671875,1.28125,1.0,0.78125,0.0,0.0,0.0,0.0,0.0,98.40625,20.408504486083984,13177.95849609375
run_a_noclip,31,-5.22265625,0.90625,1.0,0.40625,0.0,0.0,0.0,0.0,0.75,77.75,32.07551574707031,13177.95849609375
run_a_noclip,32,16.87109375,0.96875,0.9375,0.5,0.0,0.0,0.0,0.0625,0.0,102.125,35.48261642456055,13177.95849609375
run_a_noclip,33,-1.09375,1.21875,1.0,0.71875,0.0,0.0,0.0,0.0,0.25,103.0,21.895647048950195,13177.95849609375
run_a_noclip,34,-0.5989990234375,0.8662109375,1.0,0.375,-0.0087890625,0.0,0.0,0.0,0.0,103.8125,38.63846969604492,13177.95849609375
run_a_noclip,35,0.42510986328125,0.67333984375,0.9375,0.28125,-0.07666015625,0.0,0.0,0.0625,0.5,107.0,60.15785598754883,13177.95849609375
run_a_noclip,36,6.08038330078125,1.02490234375,1.0,0.53125,-0.00634765625,0.0,0.0,0.0,0.0,97.875,43.700408935546875,13177.95849609375
run_a_noclip,37,2.14453125,1.09375,1.0,0.59375,0.0,0.0,0.0,0.0,0.5,82.125,23.484724044799805,13177.95849609375
run_a_noclip,38,4.162109375,0.65625,1.0,0.15625,0.0,0.0,0.0,0.0,0.25,91.96875,40.9669303894043,13177.95849609375
run_a_noclip,39,-6.0703125,1.09375,1.0,0.59375,0.0,0.0,0.0,0.0,0.5,91.625,26.89255714416504,13177.95849609375
run_a_noclip,40,6.20074462890625,0.7138671875,1.0,0.21875,-0.0048828125,0.0,0.0,0.0,0.25,82.90625,27.21996307373047,13177.95849609375
